"site","lab_id","name","collected","point_gage","stripchart_stage","logger_stage","year","date","diff"
"S2",353257,"S2 WEIR",2017-04-04 11:45:00,0.238,0.241,0.25,"2017","2017-04-04",-0.003
"S2",353267,"S2 WEIR",2017-04-11 09:50:00,0.167,0.172,0.184,"2017","2017-04-11",-0.00499999999999998
"S2",353278,"S2 WEIR",2017-04-17 09:55:00,0.122,0.123,0.142,"2017","2017-04-17",-0.001
"S2",353289,"S2 WEIR",2017-04-19 14:15:00,0.256,0.261,0.278,"2017","2017-04-19",-0.005
"S2",353291,"S2 WEIR",2017-04-24 08:40:00,0.191,0.191,0.22,"2017","2017-04-24",0
"S2",353326,"S2 WEIR",2017-05-02 13:05:00,0.196,0.2,NA,"2017","2017-05-02",-0.004
"S2",353331,"S2 WEIR",2017-05-08 08:55:00,0.092,0.097,0.122,"2017","2017-05-08",-0.005
"S2",353353,"S2 WEIR",2017-05-15 08:45:00,0.036,0.046,0.076,"2017","2017-05-15",-0.01
"S2",353366,"S2 WEIR",2017-05-22 09:15:00,0.072,0.073,0.082,"2017","2017-05-22",-0.001
"S2",353376,"S2 WEIR",2017-05-30 08:40:00,0.076,0.078,0.083,"2017","2017-05-30",-0.002
"S2",353387,"S2 WEIR",2017-06-05 08:40:00,0.023,0.029,0.048,"2017","2017-06-05",-0.006
"S2",353450,"S2 WEIR",2017-06-14 13:50:00,0.195,0.201,0.202,"2017","2017-06-14",-0.006
"S2",353452,"S2 WEIR",2017-06-19 09:05:00,0.093,0.102,0.114,"2017","2017-06-19",-0.00899999999999999
"S2",353479,"S2 WEIR",2017-06-26 08:50:00,0.091,0.096,0.095,"2017","2017-06-26",-0.005
"S2",353494,"S2 WEIR",2017-07-03 08:30:00,0.023,0.027,0.036,"2017","2017-07-03",-0.004
"S2",353667,"S2 WEIR",2017-09-25 09:15:00,0.106,0.098,0.108,"2017","2017-09-25",0.00799999999999999
"S2",353695,"S2 WEIR",2017-10-02 10:25:00,0.113,0.114,0.112,"2017","2017-10-02",-0.001
"S2",353733,"S2 WEIR",2017-10-10 13:00:00,0.054,0.054,NA,"2017","2017-10-10",0
"S2",353740,"S2 WEIR",2017-10-16 10:20:00,0.041,0.046,0.052,"2017","2017-10-16",-0.005
"S2",353755,"S2 WEIR",2017-10-23 13:00:00,0.054,0.053,0.066,"2017","2017-10-23",0.001
"S2",353917,"S2 WEIR",2018-04-25 10:55:00,0.265,0.262,NA,"2018","2018-04-25",0.003
"S2",227064,"S2 WEIR",2018-04-30 09:40:00,0.221,NA,NA,"2018","2018-04-30",NA
"S2",353920,"S2 WEIR",2018-04-30 11:30:00,0.222,0.225,NA,"2018","2018-04-30",-0.003
"S2",353932,"S2 WEIR",2018-05-07 10:35:00,0.153,0.156,0.226,"2018","2018-05-07",-0.003
"S2",227080,"S2 WEIR",2018-05-14 09:00:00,0.108,NA,NA,"2018","2018-05-14",NA
"S2",353942,"S2 WEIR",2018-05-14 09:50:00,0.105,0.111,0.184,"2018","2018-05-14",-0.006
"S2",353990,"S2 WEIR",2018-05-21 13:20:00,0.094,NA,0.102,"2018","2018-05-21",NA
"S2",353993,"S2 WEIR",2018-05-25 10:45:00,0.101,0.102,NA,"2018","2018-05-25",-0.000999999999999987
"S2",353996,"S2 WEIR",2018-05-29 12:00:00,0.067,0.07,0.076,"2018","2018-05-29",-0.003
"S2",227100,"S2 WEIR",2018-05-29 13:50:00,0.164,NA,NA,"2018","2018-05-29",NA
"S2",354009,"S2 WEIR",2018-06-04 10:40:00,0.195,0.197,0.162,"2018","2018-06-04",-0.002
"S2",354021,"S2 WEIR",2018-06-12 10:50:00,0.141,0.14,0.164,"2018","2018-06-12",0.000999999999999973
"S2",354035,"S2 WEIR",2018-06-18 13:10:00,0.232,0.233,0.164,"2018","2018-06-18",-0.001
"S2",354042,"S2 WEIR",2018-06-25 10:30:00,0.054,0.057,0.162,"2018","2018-06-25",-0.003
"S2",354057,"S2 WEIR",2018-07-02 12:50:00,0.134,0.133,0.154,"2018","2018-07-02",0.001
"S2",354066,"S2 WEIR",2018-07-03 14:00:00,0.348,0.352,0.156,"2018","2018-07-03",-0.004
"S2",354069,"S2 WEIR",2018-07-09 10:50:00,0.141,0.148,0.154,"2018","2018-07-09",-0.00700000000000001
"S2",227168,"S2 WEIR",2018-07-09 11:05:00,0.141,NA,NA,"2018","2018-07-09",NA
"S2",354077,"S2 WEIR",2018-07-16 09:40:00,0.05,0.039,0.154,"2018","2018-07-16",0.011
"S2",354115,"S2 WEIR",2018-07-23 09:40:00,0.04,0.028,0.156,"2018","2018-07-23",0.012
"S2",227180,"S2 WEIR",2018-07-23 10:05:00,0.04,NA,NA,"2018","2018-07-23",NA
"S2",354225,"S2 WEIR",2018-10-02 10:00:00,0.04,0.041,0.156,"2018","2018-10-02",-0.001
"S2",227225,"S2 WEIR",2018-10-02 10:30:00,0.04,NA,NA,"2018","2018-10-02",NA
"S2",354234,"S2 WEIR",2018-10-11 10:40:00,0.228,0.224,0.162,"2018","2018-10-11",0.004
"S2",354241,"S2 WEIR",2018-10-15 10:45:00,0.128,0.125,NA,"2018","2018-10-15",0.003
"S2",354249,"S2 WEIR",2018-10-22 10:40:00,0.072,0.071,0.158,"2018","2018-10-22",0.001
"S2",354261,"S2 WEIR",2018-10-29 12:50:00,0.182,0.179,0.254,"2018","2018-10-29",0.003
"S2",354360,"S2 WEIR",2019-04-08 12:40:00,0.32,NA,NA,"2019","2019-04-08",NA
"S2",354425,"S2 WEIR",2019-04-23 10:45:00,0.292,0.321,NA,"2019","2019-04-23",-0.029
"S2",354465,"S2 WEIR",2019-05-03 11:00:00,0.168,0.162,NA,"2019","2019-05-03",0.006
"S2",354480,"S2 WEIR",2019-05-07 11:35:00,0.123,0.116,0.148,"2019","2019-05-07",0.00699999999999999
"S2",354502,"S2 WEIR",2019-05-14 10:05:00,0.092,0.092,0.099,"2019","2019-05-14",0
"S2",354516,"S2 WEIR",2019-05-20 10:50:00,0.101,0.106,0.102,"2019","2019-05-20",-0.00499999999999999
"S2",354546,"S2 WEIR",2019-05-29 10:50:00,0.103,0.103,0.136,"2019","2019-05-29",0
"S2",354552,"S2 WEIR",2019-06-03 10:40:00,0.045,0.044,0.09,"2019","2019-06-03",0.001
"S2",354562,"S2 WEIR",2019-06-10 11:00:00,0.027,0.024,0.08,"2019","2019-06-10",0.003
"S2",354625,"S2 WEIR",2019-07-02 10:45:00,0.107,0.098,NA,"2019","2019-07-02",0.00899999999999999
"S2",354667,"S2 WEIR",2019-07-24 11:00:00,0.032,0.028,NA,"2019","2019-07-24",0.004
"S2",354782,"S2 WEIR",2019-09-16 12:00:00,0.117,0.123,NA,"2019","2019-09-16",-0.00599999999999999
"S2",354803,"S2 WEIR",2019-09-25 10:05:00,0.07,0.063,NA,"2019","2019-09-25",0.00700000000000001
"S2",354818,"S2 WEIR",2019-10-02 10:30:00,0.149,0.144,NA,"2019","2019-10-02",0.005
"S2",354838,"S2 WEIR",2019-10-07 10:45:00,0.193,0.191,NA,"2019","2019-10-07",0.002
"S2",354873,"S2 WEIR",2019-10-16 13:00:00,0.11,0.11,0.108,"2019","2019-10-16",0
"S2",354904,"S2 WEIR",2019-10-28 10:15:00,0.087,0.094,NA,"2019","2019-10-28",-0.00700000000000001
"S2",354986,"S2 WEIR",2020-03-31 17:30:00,0.16,NA,NA,"2020","2020-03-31",NA
"S2",354999,"S2 WEIR",2020-04-08 15:00:00,0.302,NA,NA,"2020","2020-04-08",NA
"S2",355018,"S2 WEIR",2020-04-20 10:30:00,0.101,0.11,NA,"2020","2020-04-20",-0.00899999999999999
"S2",355038,"S2 WEIR",2020-04-29 10:40:00,0.112,0.116,NA,"2020","2020-04-29",-0.004
"S2",355050,"S2 WEIR",2020-05-04 13:00:00,0.075,0.079,NA,"2020","2020-05-04",-0.004
"S2",355066,"S2 WEIR",2020-05-11 10:00:00,0.027,0.03,NA,"2020","2020-05-11",-0.003
"S2",355084,"S2 WEIR",2020-05-18 12:55:00,0.021,0.037,NA,"2020","2020-05-18",-0.016
"S2",355122,"S2 WEIR",2020-05-27 13:40:00,0.093,0.104,NA,"2020","2020-05-27",-0.011
"S2",355131,"S2 WEIR",2020-06-01 10:30:00,0.011,0.02,NA,"2020","2020-06-01",-0.009
"S2",355155,"S2 WEIR",2020-06-12 09:55:00,0.149,0.154,NA,"2020","2020-06-12",-0.005
"S2",355168,"S2 WEIR",2020-06-15 10:20:00,0.043,0.048,NA,"2020","2020-06-15",-0.005
"S2",355216,"S2 WEIR",2020-07-20 10:20:00,0.048,NA,NA,"2020","2020-07-20",NA
"S2",355260,"S2 WEIR",2020-07-27 10:25:00,0.089,0.092,NA,"2020","2020-07-27",-0.003
"S2",355283,"S2 WEIR",2020-08-10 10:30:00,0.282,NA,NA,"2020","2020-08-10",NA
"S2",355323,"S2 WEIR",2020-08-21 09:35:00,0.068,0.062,NA,"2020","2020-08-21",0.006
"S2",355334,"S2 WEIR",2020-08-24 10:05:00,0.063,0.051,NA,"2020","2020-08-24",0.012
"S2",355356,"S2 WEIR",2020-09-01 13:35:00,0.141,0.172,NA,"2020","2020-09-01",-0.031
"S2",355361,"S2 WEIR",2020-09-09 10:10:00,0.027,0.039,NA,"2020","2020-09-09",-0.012
"S2",355441,"S2 WEIR",2020-10-05 11:00:00,0.037,0.052,NA,"2020","2020-10-05",-0.015
"S2",355454,"S2 WEIR",2020-10-13 10:45:00,0.141,0.161,NA,"2020","2020-10-13",-0.02
"S2",355470,"S2 WEIR",2020-10-21 11:20:00,0.068,0.077,NA,"2020","2020-10-21",-0.00899999999999999
"S2",355647,"S2 WEIR",2021-03-24 10:25:00,0.083,0.067,NA,"2021","2021-03-24",0.016
"S2",355671,"S2 WEIR",2021-04-06 10:35:00,0.093,0.1,NA,"2021","2021-04-06",-0.00700000000000001
"S2",355703,"S2 WEIR",2021-04-12 12:55:00,0.34,0.343,NA,"2021","2021-04-12",-0.003
"S2",355735,"S2 WEIR",2021-04-28 10:45:00,0.086,0.093,NA,"2021","2021-04-28",-0.00700000000000001
"S2",355760,"S2 WEIR",2021-05-05 09:50:00,0.058,0.065,NA,"2021","2021-05-05",-0.007
"S2",355765,"S2 WEIR",2021-05-12 09:50:00,0.03,0.032,NA,"2021","2021-05-12",-0.002
"S2",355776,"S2 WEIR",2021-05-17 11:40:00,0.022,0.033,NA,"2021","2021-05-17",-0.011
"S2",355787,"S2 WEIR",2021-05-24 11:05:00,0.033,0.043,NA,"2021","2021-05-24",-0.01
